Número do Processo (Não edite);ID (Não edite);Item (Não edite);Produto (Não edite);Quantidade (Não edite);Modelo (Insira as informações quando aplicável);Marca/Fabricante (Insira as informações quando aplicável);Código de Registro na ANVISA (Insira as informações quando aplicável);Descrição detalhada do Item (Insira as informações);Valor unitário (Insira as informações);Valor total (Insira as informações)
011/2023;11751;1;ABAIXADOR DE LÍNGUA DE MADEIRA, DESCARTÁVEL, USO ÚNICO – UNIDADE COM 100 UNIDADEES,;500;Theoto;Theoto;;ABAIXADOR DE LÍNGUA DE MADEIRA,DESCARTÁVEL, USO ÚNICO. PACOTE COM 100 UNIDADES;7,67;3835
011/2023;11752;2;AGUA DESTILADA 5 LITROS,;300;;;;;;
011/2023;11753;3;AGUA PARA INJEÇÃO 5MLCAIXA C/200 UNID,;200;;;;;;
011/2023;11754;4;AGUA PARA INJEÇÃO 10ML CAIXA COM 200 UND,;200;Isofarma;Isofarma;;AGUA PARA INJEÇÃO 10ML CAIXA COM 200 UNIDADES;169;33800
011/2023;11755;5;AGUA PARA INJEÇÃO 20 ML- CAIXA COM 200 UNIDADEES, MATERIAL MEDICO HOSPITALAR;200;;;;;;
011/2023;11756;6;AGULHA 13X0,45 CM,;5000;Solidor;Solidor;;AGULHA 13X0,45CM;0,12;600
011/2023;11757;7;AGULHA 25X0,70CM,;5000;Solidor;Solidor;;AGULHA 25X0,70CM;0,12;600
011/2023;11758;8;AGULHA 40X1,20CM,;5000;Solidor;Solidor;;AGULHA 40X1,20CM;0,14;700
011/2023;11759;9;AGULHA 25X0,6CM,;5000;Solidor;Solidor;;AGULHA 25X0,6CM;0,13;650
011/2023;11760;10;ALCOOL EM GEL70% ANTI-SEPTICO PARA AS MAOS COM GALÃOICERINA e vitamina e, embalagem de 500 gramas;10000;Prolink;Prolink;;"ÁLCOOL EM GEL 70%, ANTI-SEPTICO PARA AS MAOS; COM GLICERINA E VITAMINA E;EMBALAGEM DE 500 GRAMAS.";9,1;91000
011/2023;11761;11;ALCOOL ETILICO 70% DE 1 LITRO,;10000;Prolink;Prolink;;ÁLCOOL ETÍLICO 70% DE 1 LITRO;9,09;90900
011/2023;11762;12;ALCOOL ETILICO 96% DE 1 LITRO, DESINFETANTE HOSPITALAR PARA SUPERFICIES FIXAS;1000;;;;;;
011/2023;11763;13;ALGODÃO HIDROFILO - ROLO 500GRS,;500;Neve;Neve;;ALGODÃO HIDRÓFILO ROLO 500 GRAMAS;21,97;10985
011/2023;11764;14;ALMOTOLIA 250ML MARROM Plástica e bico reto,;500;;;;;;
011/2023;11765;15;ALMOTOLIA 250ML - TRANSPARENTE Plástica e bico reto,;500;;;;;;
011/2023;11766;16;ALMOTOLIA 500ML - MARROM Plástica e bico reto,;500;;;;;;
011/2023;11767;17;ALMOTOLIA 500ML - TRANSPARENTE Plástica e bico reto,;500;;;;;;
011/2023;11768;18;AVENTAL (CAPOTE) DESCARTÁVEL MANGA LONGA COMPLÁSTICO NO PUNHO, COM CAPUZ DESCARTAVEL, CONFECCIONADO TNT (TECIDO NÃO TECIDO) EM 100% POLIPROPILENO 40G, TIRAS NA CINTURA E PESCOÇO, COMPRIMENTO DE 115CM, LARGURA DE 70CMS, MATERIAL DE ALTA RESISTÊNCIA E MALEÁVEL, PROPORCIONANDO MAIS CONFORTO AO USUÁRIO, PRODUTO NÃO ESTÉRIL, UNIDADE COM 10 UNIDADEES;500;Maycare;Maycare;;"AVENTAL (CAPOTE) DESCARTÁVEL MANGA LONGA COMPLÁSTICO NO PUNHO, COM CAPUZ DESCARTAVEL, CONFECCIONADO TNT (TECIDO NÃO TECIDO) EM 100% POLIPROPILENO; 40G, TIRAS NA CINTURA E PESCOÇO, COMPRIMENTO DE 115CM, * LARGURA DE 70CMS, MATERIAL DE ALTA RESISTÊNCIA E MALEÁVEL, PROPORCIONANDO MAIS CONFORTO AO USUÁRIO, PRODUTO NÃO ESTÉRIL. PACOTECOM 10 UNIDADES";65;32500
011/2023;11769;19;ATADURA CREPON 08CM X4,5MT 11 FIOS, MACIA, ELÁSTICA E RESISTENTE, Atadura de crepom, 100% algodão cru, fios de alta torção, com alta resistência, possuindo bastante elasticidade no sentido longitudinal, comprimento da embalagem em repouso, enrolada em si mesma, com fio retorcido ou singelo, não estéril, atóxica, aparência uniforme, sem emendas UNIDADE com 12 UNIDADEes;3000;Cremer;Cremer;;ATADURA CREPOM 08CM X 4,5MT, 11 FIOS, MACIA, ELÁSTICA E RESISTENTE ATADURA DE CREPOM, 100% ALGODÃO CRU, FIOS DE ALTA TORÇÃO, COM ALTA RESISTÊNCIA, POSSUINDO BASTANTE ELASTICIDADE NO SENTIDO LONGITUDINAL, COMPRIMENTO DA EMBALAGEM EM REPOUSO, ENROLADA EM SI MESMA, COM FIO RETORCIDO OU SINGELO, NÃO ESTÉRIL, ATÓXICA, APARÊNCIA UNIFORME, SEM EMENDAS. PACOTE COM 12UNIDADES;29,16;87480
011/2023;11770;20;ATADURA CREPOM 10CM X 4,5 MT 11 FIOS, MACIA, ELÁSTICA E RESISTENTE, Atadura de crepom, 100% algodão cru, fios de alta torção, com alta resistência, possuindo bastante elasticidade no sentido longitudinal, comprimento da embalagem em repouso, enrolada em si mesma, com fio retorcido ou singelo, não estéril, atóxica, aparência uniforme, sem emendas UNIDADE com 12 fios;3000;Cremer;Cremer;;ATADURA CREPOM 10CM X 4,5MT, 11 FIOS, MACIA, ELÁSTICA E RESISTENTE. ATADURA DE CREPOM, 100% ALGODÃO CRU, FIOS DE ALTA TORÇÃO, COM ALTA RESISTÊNCIA, POSSUINDO BASTANTE ELASTICIDADE NO SENTIDO LONGITUDINAL, COMPRIMENTO DA EMBALAGEM EM REPOUSO, ENROLADA EM SI MESMA, COM FIO RETORCIDO OU SINGELO, NÃO ESTÉRIL, ATÓXICA, APARÊNCIA UNIFORME, SEM EMENDAS. PACOTE COM 12UNIDADES;31,07;93210
011/2023;11771;21;ATADURA CREPON 12CM X4,5MT, 11 FIOS, MACIA, ELÁSTICA E RESISTENTE, Atadura de crepom, 100% algodão cru, fios de alta torção, com alta resistência, possuindo bastante elasticidade no sentido longitudinal, comprimento da embalagem em repouso, enrolada em si mesma, com fio retorcido ou singelo, não estéril, atóxica, aparência uniforme, sem emendas UNIDADE com 12 UNIDADEes;3000;Cremer;Cremer;;ATADURA CREPOM 12CM X 4,5MT, 11 FIOS, MACIA, ELÁSTICA E RESISTENTE. ATADURA DE CREPOM, 100% ALGODÃO CRU, FIOS DE ALTA TORÇÃO, COM ALTA RESISTÊNCIA, POSSUINDO BASTANTE ELASTICIDADE NO SENTIDO LONGITUDINAL, COMPRIMENTO DA EMBALAGEM EM REPOUSO, ENROLADA EM SI MESMA, COM FIO RETORCIDO OU SINGELO, NÃO ESTÉRIL, ATÓXICA, APARÊNCIAUNIFORME, SEM EMENDAS. PACOTE COM 12 UNIDADES;36,39;109170
